Genbank accession	Biosample	Species	Run	BioProject
GCA_004363575.1	SAMN07678062	Solenodon paradoxus	SRS9004990	PRJNA399371
GCA_004027635.1	SAMN07678044	Crocidura indochinensis	SRS3678510	PRJNA399360
GCA_004024925.1	SAMN07678045	Scalopus aquaticus	SRS3678531	PRJNA399361
GCA_004024945.1	SAMN07678046	Uropsilus gracilis	SRS3678540	PRJNA399362
GCA_004023825.1	SAMN07678118	Vulpes lagopus	SRS3678542	PRJNA399424
GCA_004027395.1	SAMN07678141	Canis lupus familiaris	SRS6380584	PRJNA399441
GCA_004023885.1	SAMN07678074	Cryptoprocta ferox	SRS6380771	PRJNA399384
GCA_004023925.1	SAMN07678084	Felis nigripes	SRS6382161	PRJNA399394
GCA_004023805.1	SAMN07678103	Panthera onca	SRS9005500	PRJNA399411
GCA_004023845.1	SAMN07678086	Helogale parvula	SRS3622117	PRJNA399396
GCA_004023905.1	SAMN07678040	Suricata suricatta	SRS6386393	PRJNA399357
GCA_004023785.1	SAMN07678097	Mungos mungo	SRS3678523	PRJNA399406
GCA_004023945.1	SAMN07678047	Hyaena hyaena	SRS6382457	PRJNA399363
GCA_004023965.1	SAMN07678050	Spilogale gracilis	SRS3678533	PRJNA399437
GCA_004024605.1	SAMN07678049	Pteronura brasiliensis	SRS6383728	PRJNA399365
GCA_004024625.1	SAMN07678094	Mellivora capensis	SRS9004471	PRJNA399403
GCA_004024565.1	SAMN07678053	Zalophus californianus	SRS6386485	PRJNA399369
GCA_004023865.1	SAMN07678016	Mirounga angustirostris	SRS9005483	PRJNA399341
GCA_004024585.1	SAMN07678048	Paradoxurus hermaphroditus	SRS6383709	PRJNA399364
GCA_004765945.1	SAMN07678093	Manis tricuspis	SRS6383563	PRJNA399460
GCA_004027315.1	SAMN07678078	Diceros bicornis	SRS6382141	PRJNA399388
GCA_004027795.1	SAMN07678069	Ceratotherium simum cottoni	SRS6380537	PRJNA399457
GCA_004024905.1	SAMN07678113	Tapirus indicus	SRS9006397	PRJNA399421
GCA_004025025.1	SAMN07678114	Tapirus terrestris	SRS6386409	PRJNA399422
GCA_004027515.1	SAMN07678063	Antilocapra americana	SRS6379296	PRJNA399373
GCA_004363455.1	SAMN07678124	Eubalaena japonica	SRS6382391	PRJNA399464
GCA_004027495.1	SAMN07678065	Beatragus hunteri	SRS6380528	PRJNA399375
GCA_004026825.1	SAMN07678087	Hemitragus hylocrius	SRS6382157	PRJNA399397
GCA_004026945.1	SAMN07678102	Ovis canadensis cremnobates	SRS6383712	PRJNA399410
GCA_004024985.1	SAMN07678151	Saiga tatarica tatarica	SRS6386392	PRJNA399418
GCA_004026565.1	SAMN07678109	Rangifer tarandus	SRS3622126	PRJNA399416
GCA_004363415.1	SAMN07678123	Eschrichtius robustus	SRS6382160	PRJNA399463
GCA_004027065.1	SAMN07678089	Hippopotamus amphibius	SRS9006326	PRJNA399399
GCA_004363515.1	SAMN07678125	Inia geoffrensis	SRS6382499	PRJNA399465
GCA_004363705.1	SAMN07678126	Kogia breviceps	SRS6382501	PRJNA399466
GCA_004027045.1	SAMN07678023	Monodon monoceros	SRS9004809	PRJNA399349
GCA_004024705.1	SAMN07678096	Moschus moschiferus	SRS9005501	PRJNA399405
GCA_004363495.1	SAMN07678060	Phocoena phocoena	SRS6383809	PRJNA399454
GCA_004363435.1	SAMN07678149	Platanista gangetica minor	SRS6383745	PRJNA399467
GCA_004363935.1	SAMN07678127	Pontoporia blainvillei	SRS6383718	PRJNA399468
GCA_004024745.1	SAMN07678067	Catagonus wagneri	SRS9003140	PRJNA399378
GCA_004024965.1	SAMN07678116	Tragulus javanicus	SRS3678539	PRJNA399456
GCA_004364475.1	SAMN07678128	Ziphius cavirostris	SRS6386394	PRJNA399469
GCA_004027085.1	SAMN07678145	Mesoplodon bidens	SRS3678520	PRJNA399476
GCA_004027555.1	SAMN07678039	Craseonycteris thonglongyai	SRS3622114	PRJNA399445
GCA_004027415.1	SAMN07678026	Hipposideros galeritus	SRS3678515	PRJNA399442
GCA_004026885.1	SAMN07678029	Megaderma lyra	SRS3678518	PRJNA399353
GCA_004025005.1	SAMN07678131	Tadarida brasiliensis	SRS3678534	PRJNA399430
GCA_004026545.1	SAMN07678133	Mormoops blainvillei	SRS9005859	PRJNA399472
GCA_004026585.1	SAMN07678134	Noctilio leporinus	SRS3678525	PRJNA399473
GCA_007922815.1	SAMN07678130	Macrotus californicus	SRS9003427	PRJNA399440
GCA_004026765.1	SAMN07678146	Micronycteris hirsuta	SRS3622123	PRJNA399354
GCA_004027435.1	SAMN07678132	Artibeus jamaicensis	SRS3678505	PRJNA399471
GCA_004027735.1	SAMN07678055	Carollia perspicillata	SRS3678507	PRJNA399439
GCA_004024845.1	SAMN07678031	Tonatia saurophila	SRS3678538	PRJNA399356
GCA_004027475.1	SAMN07678033	Anoura caudifer	SRS3678503	PRJNA399350
GCA_004024865.1	SAMN07678121	Rousettus aegyptiacus	SRS3622129	PRJNA399428
