BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994342,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994343,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994344,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994345,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994346,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994347,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994348,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994349,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994350,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9994351,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9946960,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9947049,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9947082,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9947083,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9946961,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9946964,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9946965,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9946768,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9946765,Dromaius novaehollandiae,PRJNA545868
SAMN12253764,SAMN12253764,GCA_013396795.1,SRR9946766,Dromaius novaehollandiae,PRJNA545868
