Latin name	Species3	Family3	Order3	Total.individuals	Female	Male	Unknown	Complete.measures	Beak.Length_Culmen	Beak.Length_Nares	Beak.Width	Beak.Depth	Tarsus.Length	Wing.Length	Kipps.Distance	Secondary1	Hand-Wing.Index	Tail.Length	Mass	Mass.Source	Mass.Refs.Other	Inference	Traits.inferred	Reference.species	Habitat	Habitat.Density	Migration	Trophic.Level	Trophic.Niche	Primary.Lifestyle	Min.Latitude	Max.Latitude	Centroid.Latitude	Centroid.Longitude	Range.Size	Species.Status	Sample	Labels
Aegithalos_caudatus	Aegithalos caudatus	Aegithalidae	Passeriformes	21	10	11	0	8	7.6	4.5	2.6	3.3	15.8	61.4	13.3	48.2	21.6	79.8	8.6	Dunning		NO			Forest	2.0	1.0	Carnivore	Invertivore	Insessorial	23.12	68.3	51.23	74.92598155	20041677.81	Extant	Aegithalos_caudatus_GCA_013389925.1_msmc2.final	13.0
Aegotheles_bennettii	Aegotheles bennettii	Aegothelidae	Apodiformes	7	4	3	0	7	16.5	5.9	4.8	4.0	19.8	127.5	39.6	87.8	31.1	114.9	60.0	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-10.73	-0.79	-5.63	143.9752959	199259.89	Extant	Aegotheles_bennettii_GCA_013398125.1_msmc2.final	1.0
Alca_torda	Alca torda	Alcidae	Charadriiformes	6	2	2	2	4	42.8	21.1	9.2	23.1	32.4	209.3	116.5	88.5	56.8	94.7	725.99	Dunning		NO			Marine	3.0	3.0	Carnivore	Aquatic predator	Aquatic	43.1	76.41	61.38	-19.92989098	1228730.51	Extant	Alca_torda_GCA_013398245.1_msmc2.final	9.0
Aleadryas_rufinucha	Aleadryas rufinucha	Pachycephalidae	Passeriformes	5	2	3	0	4	20.3	11.2	4.9	7.3	30.2	84.8	12.2	70.8	14.7	70.2	40.5	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-10.11	-0.49	-5.12	141.6053123	150684.68	Extant	Aleadryas_rufinucha_GCA_013397815.1_msmc2.final	10.0
Gallicolumba_beccarii	Gallicolumba beccarii	Columbidae	Columbiformes	8	4	4	0	8	16.4	8.7	2.4	3.2	26.8	104.2	30.5	73.7	29.3	56.0	78.73	Dunning		NO			Forest	1.0	1.0	Herbivore	Omnivore	Terrestrial	-11.85	-0.49	-5.52	144.9813234	239191.41	Extant	Alopecoenas_beccarii_GCA_013399365.1_msmc2.final	10.0
Amazona_guildingii	Amazona guildingii	Psittacidae	Psittaciformes	4	2	2	0	4	41.1	33.5	22.2	34.2	27.7	262.5	82.5	180.0	31.4	153.2	646.0	Dunning		NO			Forest	1.0	1.0	Herbivore	Omnivore	Insessorial	13.21	13.3	13.25	-61.19704276	43.1	Extant	Amazona_guildingii_GCA_013399615.1_msmc2.final	5.0
Anhinga_anhinga	Anhinga anhinga	Anhingidae	Suliformes	9	6	3	0	4	85.6	78.8	11.1	14.7	39.0	339.6	66.6	273.0	19.6	267.2	1235.0	Dunning		NO			Wetland	3.0	1.0	Carnivore	Aquatic predator	Aquatic	-33.76	34.87	-5.08	-62.2442446	14921101.49	Extant	Anhinga_anhinga_GCA_013396435.1_msmc2.final	4.0
Anhinga_rufa	Anhinga rufa	Anhingidae	Suliformes	6	2	2	2	4	86.9	69.7	10.5	14.1	46.2	344.3	156.8	186.2	45.7	242.7	1480.06	Dunning		NO			Wetland	3.0	1.0	Carnivore	Aquatic predator	Aquatic	-34.84	32.07	-2.89	21.5446615	17976599.63	Extant	Anhinga_rufa_GCA_013400875.1_msmc2.final	10.0
Anseranas_semipalmata	Anseranas semipalmata	Anseranatidae	Anseriformes	7	3	3	1	4	85.6	42.4	22.8	20.4	87.0	405.6	144.0	269.0	34.9	148.1	2393.4	Dunning		NO			Wetland	3.0	2.0	Herbivore	Omnivore	Terrestrial	-38.9	-10.62	-20.53	137.4283157	223353.42	Extant	Anseranas_semipalmata_GCA_013399115.1_msmc2.final	9.0
Aramus_guarauna	Aramus guarauna	Aramidae	Gruiformes	8	2	3	3	3	130.4	84.9	8.8	13.4	84.6	241.2	24.4	196.6	11.1	225.8	1080.0	Dunning		NO			Wetland	3.0	1.0	Carnivore	Aquatic predator	Terrestrial	-39.32	31.24	-10.49	-58.48455114	12182050.36	Extant	Aramus_guarauna_GCA_013400195.1_msmc2.final	6.0
Arenaria_interpres	Arenaria interpres	Scolopacidae	Charadriiformes	10	5	5	0	4	25.4	15.7	3.9	5.5	25.5	148.8	83.4	66.4	55.6	61.0	135.98	Dunning		NO			Coastal	3.0	3.0	Carnivore	Aquatic predator	Terrestrial	55.99	83.11	72.47	-51.70528284	2619753.6	Extant	Arenaria_interpres_GCA_013399435.1_msmc2.final	9.0
Baryphthengus_martii	Baryphthengus martii	Momotidae	Coraciiformes	22	10	5	7	7	49.3	33.5	11.7	14.0	32.6	150.7	24.3	126.6	16.1	250.8	165.02	Dunning		NO			Forest	1.0	1.0	Carnivore	Omnivore	Insessorial	-18.13	15.3	-6.17	-68.87973623	3234290.46	Extant	Baryphthengus_martii_GCA_013396935.1_msmc2.final	1.0
Bombycilla_garrulus	Bombycilla garrulus	Bombycillidae	Passeriformes	13	6	7	0	4	15.5	7.6	5.1	6.0	20.7	116.2	43.9	72.3	37.8	65.8	54.41	Dunning		NO			Forest	1.0	3.0	Herbivore	Omnivore	Insessorial	47.49	70.45	61.26	25.87916459	12792145.0	Extant	Bombycilla_garrulus_GCA_013400315.1_msmc2.final	6.0
Brachypteracias_leptosomus	Brachypteracias leptosomus	Brachypteraciidae	Coraciiformes	5	2	2	1	4	41.8	27.0	13.2	14.8	33.7	137.6	27.0	109.5	19.8	127.4	185.0	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-25.03	-13.12	-17.88	48.72010715	39070.42	Extant	Brachypteracias_leptosomus_GCA_013401335.1_msmc2.final	11.0
Bucco_capensis	Bucco capensis	Bucconidae	Piciformes	6	4	2	0	4	34.5	22.0	11.3	12.8	17.4	86.7	17.2	68.5	19.9	57.0	54.0	Dunning		NO			Forest	1.0	1.0	Carnivore	Invertivore	Insessorial	-13.87	8.27	-2.43	-63.49651513	5454915.04	Extant	Bucco_capensis_GCA_013396975.1_msmc2.final	1.0
Bucorvus_abyssinicus	Bucorvus abyssinicus	Bucorvidae	Bucerotiformes	4	2	2	0	4	256.5	189.8	31.4	56.3	145.6	556.0	114.1	441.9	20.6	337.8	4000.0	Dunning		NO			Grassland	3.0	1.0	Carnivore	Omnivore	Terrestrial	0.1	16.58	9.51	13.93180803	4482170.58	Extant	Bucorvus_abyssinicus_GCA_013398885.1_msmc2.final	0.0
Buphagus_erythrorhynchus	Buphagus erythrorhynchus	Sturnidae	Passeriformes	6	3	3	0	4	19.7	12.2	6.3	7.0	20.4	118.6	35.8	85.8	29.4	98.3	50.74	Dunning		NO			Woodland	3.0	1.0	Carnivore	Invertivore	Insessorial	-33.57	17.33	-2.49	36.34648666	2881050.23	Extant	Buphagus_erythrorhynchus_GCA_013400855.1_msmc2.final	10.0
